row.ID,annotation.network.number,NIST_POS_Samp_03.01,NIST_POS_Samp_17.01,NIST_POS_Samp_13.01,NIST_POS_Samp_15.01,NIST_POS_Samp_14.01,NIST_POS_Samp_06.01,NIST_POS_Samp_04.01,NIST_POS_Samp_01.01,NIST_POS_Samp_05.01,NIST_POS_Samp_16.01,NIST_POS_Samp_02.01,NIST_POS_Samp_12.01,NIST_POS_Samp_18.01,NIST_POS_Samp_10.01,NIST_POS_Samp_06.02,NIST_POS_Samp_11.01,NIST_POS_Samp_07.01,NIST_POS_Samp_13.02,NIST_POS_Samp_17.02,NIST_POS_Samp_01.02,NIST_POS_Samp_02.02,NIST_POS_Samp_03.02,NIST_POS_Samp_16.02,NIST_POS_Samp_04.02,NIST_POS_Samp_15.02,NIST_POS_Samp_09.01,NIST_POS_Samp_14.02,NIST_POS_Samp_18.02,NIST_POS_Samp_08.01,NIST_POS_Samp_05.02,NIST_POS_Samp_01.03,NIST_POS_Samp_09.02,NIST_POS_Samp_14.03,NIST_POS_Samp_03.03,NIST_POS_Samp_13.03,NIST_POS_Samp_10.02,NIST_POS_Samp_04.03,NIST_POS_Samp_11.02,NIST_POS_Samp_12.02,NIST_POS_Samp_02.03,NIST_POS_Samp_18.03,NIST_POS_Samp_17.03,NIST_POS_Samp_08.02,NIST_POS_Samp_15.03,NIST_POS_Samp_16.03,NIST_POS_Samp_07.02,NIST_POS_Samp_05.03,NIST_POS_Samp_06.03,NIST_POS_Samp_10.03,NIST_POS_Samp_11.03,NIST_POS_Samp_12.03,NIST_POS_Samp_08.03,NIST_POS_Samp_07.03,NIST_POS_Samp_09.03
13896,1988,17451.723,15784.652,18003.25,25180.846,42171.105,16316.2,12478.326,19217.074,34699.992,17553.66,58919.37,55821.555,10214.499,30281.191,15668.044,38306.684,169820.53,40841.133,9644.63,55702.066,65424.78,27682.4,7199.0806,15993.264,42770.094,156429.5,43539.49,19706.86,174610.73,20468.61,27141.28,142358.53,13236.082,58669.24,28968.365,61917.383,11881.849,45704.074,55504.07,64724.316,6415.67,6072.465,166673.34,42684.49,4195.842,152679.22,26249.002,20844.982,44724.25,20283.922,25029.494,147430.61,98622.695,155870.56
13926,NA,0,2647.484,0,0,0,3056.6526,2575.5588,0,3611.9514,3223.9934,0,4833.6035,2132.7268,5959.7925,1790.9373,5114.334,986.4812,0,3139.6216,0,725.8568,0,1519.4443,2733.9185,844.8655,0,665.6866,1170.8711,0,2151.1387,0,1046.3804,983.22046,0,0,6785.314,1435.0227,6031.9976,5382.8086,0,1300.3645,975.0603,0,0,984.1033,0,2636.6082,792.33014,6702.79,2705.489,6405.245,0,1092.5259,0
13959,1987,12077.936,8560.369,17124.465,13272.547,10228.721,9443.6,9031.274,14987.486,11014.209,8178.9194,14448.709,24360.457,6482.0547,21560.285,11975.876,18909.78,53020.074,13510.073,10656.92,18949.969,19426.604,20636.836,9976.426,15545.245,13690.056,50863.098,15415.641,10492.188,52428.83,16173.944,21296.336,53962.504,11166.523,10771.967,13417.691,27362.86,6960.3564,25565.309,37682.242,11833.889,8918.035,8208.505,53443.473,9778.898,10886.265,42266.44,6606.351,10253.891,33011.113,22855.896,30360.5,63103.625,61883.883,28847.969
13961,NA,3784.6084,0,5619.816,4532.626,0,0,0,5033.703,0,0,15848.774,0,0,922.65814,0,827.67993,4967.83,7728.7617,0,5679.679,20475,4714.3345,0,0,1712.3535,11466.247,0,0,8719.451,0,5352.4707,8144.839,937.4317,2266.8745,6375.251,2199.2756,0,0,0,15508.846,0,0,4860.998,2298.468,0,2831.3667,0,0,0,0,0,4892.5415,3537.316,5992.908
13978,NA,9070.492,11029.475,5299.2783,11056.896,7196.089,11651.417,12907.803,9457.515,14367.814,12810.041,8163.731,11841.167,12229.659,12230.269,16621.967,11783.568,7965.0303,6054.6016,11485.064,8703.975,5421.132,10131.199,14569.134,15722.864,5328.5615,6156.0312,3749.6133,10988.105,6300.9585,11338.6,6730.3184,3912.8943,4317.992,6772.617,6781.2783,16526.797,12171.534,11844.48,7205.755,6134.2397,9229.23,7496.961,2374.6147,4075.5537,8902.21,2623.3267,10411.245,8602.995,9231.442,6927.297,13524.103,1572.7185,3034.9985,3018.976
13996,NA,2521.6497,0,2441.0933,763.76794,948.86755,0,0,2450.69,0,0,5146.0117,823.652,0,0,0,1042.2688,9340.786,892.40326,0,3387.8928,4517.8916,5987.5234,0,0,1227.6107,10347.422,652.6327,0,10915.766,0,1175.91,18869.947,0,1629.6392,1068.8208,898.2505,0,1075.1594,1470.0714,4230.923,0,0,7774.83,0,0,16908.123,0,0,0,796.2921,1374.1633,7070.909,5445.9775,12650.648
13995,NA,0,6942.8384,0,0,0,11372.158,9296.74,872.58356,12451.639,12485.157,0,20303.154,10079.886,20331.441,11120.393,22154.08,4937.6934,0,8566.19,0,0,0,11417.586,7641.4263,0,4652.5557,0,8935.604,4063.959,14578.629,0,1625.9679,0,0,0,27504.885,9405.832,20307.014,23499.959,0,9642.794,7558.752,1094.4856,0,9943.423,2936.4033,12623.174,10150.984,13160.221,19800.305,30118.28,0,3353.48,898.33936
13987,1987,23485.855,17398.703,22692.914,23152.906,17560.945,20214.621,13529.08,24134.016,20465.668,17823.574,20287.775,49645.285,16239.016,56438.785,24185.568,54758.15,87653.15,26112.592,18259.695,18368.928,27461.486,27743.887,18040.324,21106.744,26761.963,79847.234,22331.22,75291.06,59184.03,24937.822,27694.283,80627.31,28686.752,27630.594,18832.967,68473.83,22585.871,43532.965,65683.48,23964.27,52039.277,24393.676,77510.664,18993.102,43816.74,98631.27,31348.613,18262.836,49091.71,73834.51,42596.426,77839.93,86137.8,75181.27
14035,2011,4324.8125,4593.922,3810.1206,3763.9456,2431.569,9997.924,9292.743,7679.7056,8264.277,6325.88,3191.7246,24109.295,8437.317,20706.244,5547.518,17495.266,8046.5186,3231.8035,6053.7485,4142.2803,3139.8572,3295.086,9358.092,4798.851,4888.304,13951.593,3593.942,1640.0662,8747.861,8402.992,3729.5933,15976.947,3480.5603,4806.493,3855.6135,17299.879,10177.08,31571.64,6319.142,2174.431,5491.737,5892.1074,12575.569,3572.327,7056.9775,13526.001,9275.826,3625.9346,4324.7656,13874.658,25480.006,11553.683,7044.154,8633.518
14057,1989,33307.473,27714.598,19609.443,25663.473,0,37334.234,34808.9,17734.84,40883.473,30000.148,31745.525,57020.742,27619.332,71503.93,39400.855,71391.65,59270.117,26876.98,24721.783,35614.555,30128.809,44902.145,27551.8,36561.06,0,68311.3,0,27348.484,73745.76,48467.465,0,53859.15,0,50646.92,0,145613.73,38052.88,76457.92,82267.41,27923.062,27374.09,24781.998,63349.96,0,19394.97,60271.78,40589.184,32771.82,78206.55,82153.56,139419.58,60287.414,59481.434,126102.65
